fips,incidentType,num_disasters,has_data_center,num_data_centers
02060,Hurricane,0,0,0
02060,Winter Storm,0,0,0
02060,Flood,0,0,0
02060,Tornado,0,0,0
02060,Tropical Storm,0,0,0
02060,Snowstorm,0,0,0
02060,Coastal Storm,0,0,0
02060,Severe Ice Storm,0,0,0
02068,Severe Storm,1,0,0
02068,Fire,1,0,0
02068,Hurricane,0,0,0
02068,Winter Storm,0,0,0
02068,Flood,0,0,0
02068,Tornado,0,0,0
02068,Tropical Storm,0,0,0
02068,Snowstorm,0,0,0
02068,Coastal Storm,0,0,0
02068,Severe Ice Storm,0,0,0
02070,Severe Storm,0,0,0
02070,Fire,0,0,0
02070,Hurricane,0,0,0
02070,Winter Storm,0,0,0
02070,Flood,0,0,0
02070,Tornado,0,0,0
02070,Tropical Storm,0,0,0
02070,Snowstorm,0,0,0
02070,Coastal Storm,0,0,0
02070,Severe Ice Storm,0,0,0
02090,Severe Storm,1,0,0
02090,Fire,2,0,0
02090,Hurricane,0,0,0
02090,Winter Storm,0,0,0
02090,Flood,0,0,0
02090,Tornado,0,0,0
02090,Tropical Storm,0,0,0
02090,Snowstorm,0,0,0
02090,Coastal Storm,0,0,0
02090,Severe Ice Storm,0,0,0
02100,Severe Storm,0,0,0
02100,Fire,0,0,0
02100,Hurricane,0,0,0
02100,Winter Storm,0,0,0
02100,Flood,0,0,0
02100,Tornado,0,0,0
02100,Tropical Storm,0,0,0
02100,Snowstorm,0,0,0
02100,Coastal Storm,0,0,0
02100,Severe Ice Storm,0,0,0
02105,Severe Storm,0,0,0
02105,Fire,0,0,0
02105,Hurricane,0,0,0
02105,Winter Storm,0,0,0
02105,Flood,0,0,0
02105,Tornado,0,0,0
02105,Tropical Storm,0,0,0
02105,Snowstorm,0,0,0
02105,Coastal Storm,0,0,0
02105,Severe Ice Storm,0,0,0
02110,Severe Storm,0,0,0
02110,Fire,0,0,0
02110,Hurricane,0,0,0
02110,Winter Storm,0,0,0
02110,Flood,1,0,0
02110,Tornado,0,0,0
02110,Tropical Storm,0,0,0
02110,Snowstorm,0,0,0
02110,Coastal Storm,0,0,0
02110,Severe Ice Storm,0,0,0
02122,Severe Storm,1,0,0
02122,Fire,0,0,0
02122,Hurricane,0,0,0
02122,Winter Storm,0,0,0
02122,Flood,0,0,0
02122,Tornado,0,0,0
02122,Tropical Storm,0,0,0
02122,Snowstorm,0,0,0
02122,Coastal Storm,0,0,0
02122,Severe Ice Storm,0,0,0
02130,Severe Storm,0,0,0
02130,Fire,0,0,0
02130,Hurricane,0,0,0
02130,Winter Storm,0,0,0
02130,Flood,0,0,0
02130,Tornado,0,0,0
02130,Tropical Storm,0,0,0
02130,Snowstorm,0,0,0
02130,Coastal Storm,0,0,0
02130,Severe Ice Storm,0,0,0
02150,Severe Storm,0,0,0
02150,Fire,0,0,0
